Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
35.1,390.0,1.14,34.9,1.1400000000000001,33.559999999999995
35.1,395.0,1.14,32.8,1.138,32.58
35.1,400.0,1.15,34.6,1.1400000000000001,33.44
40.1,10.0,0.16,40.0,0.188,40.32
40.2,15.0,0.21,37.3,0.23399999999999999,39.88
40.1,20.0,0.28,40.0,0.28800000000000003,39.42
40.1,25.0,0.37,40.0,0.392,38.96
40.1,30.0,0.44,37.2,0.44400000000000006,39.24
40.1,35.0,0.51,37.6,0.5479999999999999,37.02
40.0,40.0,0.6,39.9,0.574,38.36
40.1,45.0,0.63,37.2,0.6359999999999999,38.38
40.0,50.0,0.69,39.9,0.692,37.86
40.1,55.0,0.75,37.3,0.734,38.72
40.1,60.0,0.88,38.2,0.826,39.04
40.1,65.0,0.9,37.7,0.9039999999999999,38.46
40.0,70.0,0.98,37.6,1.032,36.9
40.1,75.0,1.05,37.7,1.046,37.7
40.1,80.0,1.14,38.3,1.096,37.040000000000006
40.1,85.0,1.16,37.2,1.1199999999999999,38.88
40.1,90.0,1.16,37.7,1.156,38.34
40.1,95.0,1.16,37.6,1.1640000000000001,38.08
40.0,100.0,1.17,37.1,1.172,37.92
40.1,105.0,1.16,37.4,1.166,37.14
40.1,110.0,1.16,37.6,1.162,37.34
40.1,115.0,1.15,39.9,1.162,39.39999999999999
40.1,120.0,1.16,37.7,1.158,38.06
40.1,125.0,1.16,37.7,1.156,38.08
40.1,130.0,1.16,37.4,1.158,37.660000000000004
40.1,135.0,1.15,37.7,1.162,36.92
40.2,140.0,1.16,37.8,1.166,38.92
40.1,145.0,1.16,37.1,1.168,38.96
40.1,150.0,1.17,37.7,1.168,38.89999999999999
40.0,155.0,1.18,37.3,1.168,36.739999999999995
40.2,160.0,1.17,37.1,1.17,37.339999999999996
40.1,165.0,1.16,37.4,1.17,37.379999999999995
40.2,170.0,1.17,37.2,1.168,37.42
40.1,175.0,1.17,37.9,1.166,37.980000000000004
40.1,180.0,1.17,37.5,1.17,38.4
40.1,185.0,1.16,39.9,1.17,38.50000000000001
40.1,190.0,1.18,39.5,1.17,38.879999999999995
40.1,195.0,1.17,37.7,1.174,40.239999999999995
40.1,200.0,1.17,39.8,1.172,38.18
40.1,205.0,1.16,37.4,1.172,39.78
40.2,210.0,1.19,39.5,1.174,38.92
40.1,215.0,1.15,37.8,1.166,40.04
40.0,220.0,1.16,37.8,1.158,38.3
40.1,225.0,1.16,37.4,1.156,37.94
40.2,230.0,1.16,37.2,1.168,39.519999999999996
40.2,235.0,1.17,37.4,1.172,37.980000000000004
40.1,240.0,1.16,37.4,1.168,39.14
