Transaction Arrival Rate,Block Size,Orderers,Latency,Throughput,Latency_Pred,Throughput_Pred
20.0,25.0,3.0,0.67,20.0,0.5900000000000001,19.880000000000003
20.0,30.0,3.0,0.8,19.4,0.7619999999999999,19.76
20.0,35.0,3.0,0.93,19.6,0.7619999999999999,19.76
20.0,40.0,3.0,1.06,20.0,0.9039999999999999,19.76
20.0,45.0,3.0,1.13,19.4,1.0219999999999998,19.619999999999997
20.0,50.0,3.0,1.12,19.3,1.1159999999999999,19.479999999999997
20.0,55.0,3.0,1.13,19.3,1.1159999999999999,19.479999999999997
20.0,60.0,3.0,1.13,19.4,1.13,19.339999999999996
20.0,65.0,3.0,1.12,19.3,1.128,19.32
20.0,70.0,3.0,1.14,19.3,1.128,19.32
20.0,75.0,3.0,1.13,19.3,1.128,19.32
20.0,80.0,3.0,1.12,19.3,1.128,19.32
20.0,85.0,3.0,1.13,19.4,1.13,19.339999999999996
20.0,90.0,3.0,1.13,19.3,1.126,19.360000000000003
20.0,95.0,3.0,1.13,19.3,1.126,19.38
20.0,100.0,3.0,1.13,19.4,1.126,19.4
20.0,105.0,3.0,1.12,19.4,1.124,19.4
20.0,110.0,3.0,1.13,19.4,1.124,19.4
20.0,115.0,3.0,1.12,19.4,1.124,19.4
20.0,120.0,3.0,1.12,19.4,1.122,19.4
20.0,125.0,3.0,1.12,19.3,1.122,19.4
20.0,130.0,3.0,1.12,19.4,1.122,19.4
20.0,135.0,3.0,1.12,19.4,1.122,19.4
20.0,140.0,3.0,1.12,19.4,1.124,19.4
20.0,145.0,3.0,1.13,19.4,1.126,19.419999999999998
20.0,150.0,3.0,1.13,19.3,1.126,19.419999999999998
20.0,155.0,3.0,1.13,19.4,1.128,19.4
20.0,160.0,3.0,1.13,19.4,1.13,19.4
20.0,165.0,3.0,1.13,19.5,1.13,19.4
20.0,170.0,3.0,1.13,19.3,1.13,19.4
20.0,175.0,3.0,1.13,19.4,1.134,19.52
20.0,180.0,3.0,1.13,19.4,1.1359999999999997,19.64
20.0,185.0,3.0,1.15,20.0,1.138,19.6
20.0,190.0,3.0,1.15,20.0,1.142,19.72
20.0,195.0,3.0,1.14,20.0,1.144,19.699999999999996
20.0,200.0,3.0,1.14,19.3,1.144,19.7
20.0,205.0,3.0,1.15,19.9,1.1439999999999997,19.7
20.0,210.0,3.0,1.14,19.3,1.144,19.56
20.0,215.0,3.0,1.14,19.4,1.1480000000000001,19.56
20.0,220.0,3.0,1.15,19.9,1.148,19.56
20.0,225.0,3.0,1.15,19.3,1.1459999999999997,19.58
20.0,230.0,3.0,1.16,20.0,1.1459999999999997,19.58
20.0,235.0,3.0,1.14,19.3,1.1459999999999997,19.58
20.0,240.0,3.0,1.14,20.0,1.144,19.56
20.0,245.0,3.0,1.14,19.3,1.144,19.56
20.0,250.0,3.0,1.14,19.2,1.14,19.4
20.0,255.0,3.0,1.15,19.3,1.142,19.380000000000003
20.0,260.0,3.0,1.14,19.2,1.142,19.22
20.0,265.0,3.0,1.15,20.0,1.142,19.22
20.0,270.0,3.0,1.15,19.2,1.142,19.22
20.0,275.0,3.0,1.14,19.2,1.142,19.240000000000002
20.0,280.0,3.0,1.14,19.3,1.1440000000000001,19.380000000000003
20.0,285.0,3.0,1.14,20.0,1.1440000000000001,19.38
20.0,290.0,3.0,1.14,19.3,1.142,19.42
20.0,295.0,3.0,1.15,19.9,1.144,19.44
20.0,300.0,3.0,1.14,19.4,1.144,19.44
20.0,305.0,3.0,1.15,19.3,1.1439999999999997,19.419999999999998
20.0,310.0,3.0,1.14,19.3,1.1439999999999997,19.419999999999998
20.0,315.0,3.0,1.14,19.2,1.142,19.419999999999998
20.0,320.0,3.0,1.15,19.3,1.142,19.419999999999998
20.0,325.0,3.0,1.14,19.3,1.142,19.4
20.0,330.0,3.0,1.14,20.0,1.142,19.4
20.0,335.0,3.0,1.14,19.3,1.142,19.4
20.0,340.0,3.0,1.15,19.2,1.142,19.4
20.0,345.0,3.0,1.14,19.3,1.142,19.4
20.0,350.0,3.0,1.14,19.3,1.1400000000000001,19.240000000000002
20.0,355.0,3.0,1.14,19.2,1.14,19.240000000000002
20.0,360.0,3.0,1.14,19.3,1.138,19.240000000000002
20.0,365.0,3.0,1.13,19.2,1.1379999999999997,19.240000000000002
20.0,370.0,3.0,1.14,19.2,1.1379999999999997,19.279999999999998
20.0,375.0,3.0,1.14,19.3,1.138,19.28
20.0,380.0,3.0,1.14,19.4,1.14,19.3
20.0,385.0,3.0,1.14,19.3,1.14,19.36
20.0,390.0,3.0,1.14,19.3,1.14,19.380000000000003
20.0,395.0,3.0,1.14,19.5,1.14,19.380000000000003
20.0,400.0,3.0,1.14,19.4,1.138,19.38
20.0,405.0,3.0,1.14,19.4,1.142,19.499999999999996
20.0,410.0,3.0,1.13,19.4,1.138,19.48
20.0,415.0,3.0,1.16,19.9,1.138,19.48
20.0,420.0,3.0,1.13,19.3,1.138,19.48
20.0,425.0,3.0,1.13,19.4,1.138,19.46
20.0,430.0,3.0,1.14,19.4,1.134,19.32
20.0,435.0,3.0,1.13,19.3,1.1359999999999997,19.32
20.0,440.0,3.0,1.14,19.2,1.1359999999999997,19.279999999999998
20.0,445.0,3.0,1.14,19.3,1.1379999999999997,19.4
20.0,450.0,3.0,1.13,19.2,1.138,19.4
20.0,455.0,3.0,1.15,20.0,1.138,19.4
20.0,460.0,3.0,1.15,19.3,1.14,19.419999999999998
20.0,465.0,3.0,1.14,19.2,1.14,19.439999999999998
20.0,470.0,3.0,1.14,19.3,1.1400000000000001,19.48
20.0,475.0,3.0,1.14,19.3,1.14,19.48
20.0,480.0,3.0,1.14,19.3,1.138,19.360000000000003
20.0,485.0,3.0,1.14,19.4,1.1379999999999997,19.36
20.0,490.0,3.0,1.13,19.4,1.1359999999999997,19.380000000000003
20.0,495.0,3.0,1.14,19.4,1.134,19.4
20.0,500.0,3.0,1.13,19.4,1.134,19.359999999999996
20.0,505.0,3.0,1.13,19.4,1.134,19.360000000000003
20.0,510.0,3.0,1.14,19.2,1.136,19.32
20.0,515.0,3.0,1.13,19.4,1.1359999999999997,19.3
20.0,520.0,3.0,1.15,19.2,1.1359999999999997,19.3
20.0,525.0,3.0,1.13,19.3,1.1359999999999997,19.3
20.0,530.0,3.0,1.13,19.4,1.138,19.32
20.0,535.0,3.0,1.13,19.3,1.14,19.28
20.0,540.0,3.0,1.14,19.3,1.138,19.3
